"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","20-Aug-2015","        712.40","        712.95","        715.00","        693.00","        698.30","        697.45","        700.99","     815752","           571834943.25","      21550","     294569","         36.11"
"KOTAKBANK","EQ","21-Aug-2015","        697.45","        689.60","        700.00","        680.00","        686.60","        688.00","        686.70","    1230793","           845186813.10","      28129","     604692","         49.13"
"KOTAKBANK","EQ","24-Aug-2015","        688.00","        672.00","        674.75","        630.70","        640.00","        647.60","        648.16","    2496993","          1618446315.45","      63428","    1340928","         53.70"
"KOTAKBANK","EQ","25-Aug-2015","        647.60","        658.00","        660.50","        621.90","        644.00","        639.45","        642.67","    1764531","          1134014733.95","      36248","     721842","         40.91"
"KOTAKBANK","EQ","26-Aug-2015","        639.45","        639.45","        647.50","        623.30","        624.20","        627.25","        635.45","    1274155","           809668119.05","      25130","     546638","         42.90"
"KOTAKBANK","EQ","27-Aug-2015","        627.25","        625.00","        655.30","        625.00","        652.70","        650.40","        645.48","    1949517","          1258381438.90","      35822","     988515","         50.71"
"KOTAKBANK","EQ","28-Aug-2015","        650.40","        659.00","        662.00","        641.00","        645.05","        647.45","        651.39","    1217068","           792786153.95","      20717","     583829","         47.97"
"KOTAKBANK","EQ","31-Aug-2015","        647.45","        642.00","        658.90","        637.50","        650.50","        651.70","        650.63","     582636","           379079057.70","      14808","     242138","         41.56"
"KOTAKBANK","EQ","01-Sep-2015","        651.70","        646.80","        647.40","        608.50","        613.50","        613.75","        620.91","    2257583","          1401761597.05","      57466","    1453145","         64.37"
"KOTAKBANK","EQ","02-Sep-2015","        613.75","        617.95","        619.00","        601.00","        608.00","        608.70","        608.22","    1747255","          1062720941.40","      43930","     739944","         42.35"
"KOTAKBANK","EQ","03-Sep-2015","        608.70","        609.70","        629.95","        605.00","        626.00","        627.10","        620.02","    1835581","          1138090958.70","      32368","    1046869","         57.03"
"KOTAKBANK","EQ","04-Sep-2015","        627.10","        623.80","        623.80","        594.50","        607.20","        606.30","        604.47","    1696206","          1025310397.30","      40566","     793916","         46.81"
"KOTAKBANK","EQ","07-Sep-2015","        606.30","        605.25","        613.25","        595.00","        604.95","        600.65","        607.41","    1236366","           750976151.35","      38446","     596570","         48.25"
"KOTAKBANK","EQ","08-Sep-2015","        600.65","        604.00","        624.50","        600.55","        621.00","        620.40","        614.36","    1557330","           956766868.90","      37984","     609249","         39.12"
"KOTAKBANK","EQ","09-Sep-2015","        620.40","        628.10","        639.20","        626.10","        631.00","        634.70","        633.89","    1266193","           802629506.15","      20899","     627767","         49.58"
"KOTAKBANK","EQ","10-Sep-2015","        634.70","        623.80","        639.80","        612.25","        638.50","        635.30","        625.57","    1181160","           738897316.40","      20614","     547894","         46.39"
"KOTAKBANK","EQ","11-Sep-2015","        635.30","        633.00","        642.00","        627.50","        630.00","        631.25","        634.12","     951314","           603251593.70","      17996","     485450","         51.03"
"KOTAKBANK","EQ","14-Sep-2015","        631.25","        631.90","        649.30","        630.35","        645.75","        645.75","        641.67","     951046","           610253595.30","      19551","     463644","         48.75"
"KOTAKBANK","EQ","15-Sep-2015","        645.75","        642.65","        645.35","        635.15","        638.50","        640.00","        639.49","     735590","           470406000.85","      16297","     308727","         41.97"
"KOTAKBANK","EQ","16-Sep-2015","        640.00","        643.30","        647.00","        635.10","        639.95","        641.00","        640.93","     761647","           488160462.65","      22803","     259831","         34.11"
"KOTAKBANK","EQ","18-Sep-2015","        641.00","        643.00","        668.00","        634.60","        666.50","        657.40","        651.25","    2944603","          1917680355.25","      45324","    1702572","         57.82"
"KOTAKBANK","EQ","21-Sep-2015","        657.40","        659.10","        669.00","        654.00","        664.00","        665.45","        664.17","    1022871","           679365018.85","      18786","     393543","         38.47"
"KOTAKBANK","EQ","22-Sep-2015","        665.45","        669.90","        670.00","        638.55","        638.55","        642.70","        654.97","    1051333","           688592806.00","      22379","     473698","         45.06"
"KOTAKBANK","EQ","23-Sep-2015","        642.70","        631.00","        662.00","        631.00","        662.00","        658.65","        651.50","     920135","           599465502.70","      15441","     340942","         37.05"
"KOTAKBANK","EQ","24-Sep-2015","        658.65","        658.00","        661.75","        642.00","        655.50","        654.45","        651.11","    1813214","          1180596660.45","      33620","     869396","         47.95"
"KOTAKBANK","EQ","28-Sep-2015","        654.45","        653.05","        659.90","        638.65","        641.00","        641.10","        649.54","     847600","           550550084.95","      24829","     386111","         45.55"
"KOTAKBANK","EQ","29-Sep-2015","        641.10","        631.05","        657.00","        624.00","        649.05","        651.50","        646.20","    1491149","           963581206.50","      33888","     571841","         38.35"
"KOTAKBANK","EQ","30-Sep-2015","        651.50","        653.00","        657.75","        642.50","        648.10","        648.10","        647.00","     922880","           597100987.45","      27113","     432033","         46.81"
"KOTAKBANK","EQ","01-Oct-2015","        648.10","        646.00","        654.50","        638.00","        642.00","        640.85","        646.77","     961145","           621639740.95","      16723","     366324","         38.11"
"KOTAKBANK","EQ","05-Oct-2015","        640.85","        649.90","        660.00","        637.45","        654.50","        653.05","        653.23","    1276715","           833994876.90","      21649","     519246","         40.67"
"KOTAKBANK","EQ","06-Oct-2015","        653.05","        659.00","        662.00","        642.00","        655.00","        655.75","        651.02","    1058174","           688893478.30","      17826","     285762","         27.01"
"KOTAKBANK","EQ","07-Oct-2015","        655.75","        655.25","        665.00","        651.00","        661.00","        660.50","        658.83","     777099","           511979663.95","      14906","     224206","         28.85"
"KOTAKBANK","EQ","08-Oct-2015","        660.50","        663.50","        663.75","        649.40","        650.00","        653.60","        657.77","    1466553","           964653927.70","      24145","     710719","         48.46"
"KOTAKBANK","EQ","09-Oct-2015","        653.60","        655.95","        662.00","        653.80","        659.70","        659.50","        658.01","     920867","           605940226.15","      11131","     514466","         55.87"
"KOTAKBANK","EQ","12-Oct-2015","        659.50","        661.15","        669.70","        656.30","        661.00","        662.05","        664.59","     606173","           402854321.55","      11778","     199306","         32.88"
"KOTAKBANK","EQ","13-Oct-2015","        662.05","        660.60","        664.75","        651.00","        657.50","        656.05","        656.03","     456531","           299498350.40","       8209","     188667","         41.33"
"KOTAKBANK","EQ","14-Oct-2015","        656.05","        656.00","        662.50","        651.00","        651.05","        652.85","        657.08","     654482","           430045696.65","       8296","     268821","         41.07"
"KOTAKBANK","EQ","15-Oct-2015","        652.85","        655.50","        664.00","        652.15","        654.05","        653.45","        656.47","     849035","           557370012.95","       8777","     440440","         51.88"
"KOTAKBANK","EQ","16-Oct-2015","        653.45","        651.50","        662.00","        645.15","        661.00","        659.30","        653.72","     912296","           596390341.95","      14034","     424033","         46.48"
"KOTAKBANK","EQ","19-Oct-2015","        659.30","        659.95","        663.00","        653.45","        657.20","        658.35","        657.48","     655123","           430732051.60","      10251","     300407","         45.86"
"KOTAKBANK","EQ","20-Oct-2015","        658.35","        659.00","        661.85","        647.00","        652.00","        654.05","        653.00","     964026","           629507872.55","      14835","     305141","         31.65"
"KOTAKBANK","EQ","21-Oct-2015","        654.05","        653.95","        660.00","        650.05","        655.70","        656.60","        654.77","    1116109","           730796691.65","      17466","     493476","         44.21"
